name,label,label_en,province_code
YE1301,صنعاء القديمة,Sana'a Old City,YE13
YE1303,أزال,Azaal,YE13
YE1304,الصافية,As Safiyah,YE13
YE1305,السبعين,As Sab'in,YE13
YE1302,شعوب,Shu'ub,YE13
YE1306,الوحدة,Al Wihdah,YE13
YE1307,التحرير,At Tahrir,YE13
YE1309,الثورة,Ath Thawrah,YE13
YE1308,معين,Ma'in,YE13
YE1310,بني الحارث,Bani Al Harith,YE13
YE2301,همدان,Hamdan,YE23
YE2302,أرحب,Arhab,YE23
YE2316,جحانة,Jihanah,YE23
YE2306,بلاد الروس,Bilad Ar Rus,YE23
YE2305,سنحان وبني بهلول,Sanhan wa Bani Bahlul,YE23
YE2315,الحصن,Al Hissn,YE23
YE2311,صعفان,Sa'fan,YE23
YE2304,بني حشيش,Bani Hushaysh,YE23
YE2313,الطيال,At Tiyal,YE23
YE2312,خولان,Khawlan,YE23
YE2314,بني ضبيان,Bani Dabyan,YE23
YE2309,الحيمة الخارجية,Al Haymah Al Kharijiyah,YE23
YE2308,الحيمة الداخلية,Al Haymah Ad Dakhiliyah,YE23
YE2310,مناخة,Manakhah,YE23
YE2303,نهم,Nihm,YE23
YE2307,بني مطر,Bani Matar,YE23
YE2401,دار سعد,Dar Sa'd,YE24
YE2402,الشيخ عثمان,Ash Shaykh Uthman,YE24
YE2403,المنصورة,Al Mansurah,YE24
YE2404,البريقة,Al Burayqah,YE24
YE2405,التواهي,At Tawahi,YE24
YE2408,خور مكسر,Khur Maksar,YE24
YE2407,صيرة,Sirah,YE24
YE2406,المعلا,Al Mu'alla,YE24
YE1817,بيت الفقيه,Bayt Al Faqih,YE18
YE1808,بيت الفقيه,Al Mighlaf,YE18
YE1826,التحيتا,At Tuhayta,YE18
YE1803,كمران,Kamaran,YE18
YE1820,الخوخة,Al Khukhah,YE18
YE1814,الدريهمي,Ad Durayhimi,YE18
YE1822,الدريهمي,Al Mina,YE18
YE1802,اللحية,Alluhayah,YE18
YE1824,زبيد,Zabid,YE18
YE1825,زبيد,Al Jarrahi,YE18
YE1818,جبل راس,Jabal Ras,YE18
YE1813,المراوعة,Al Marawi'ah,YE18
YE1801,الزهرة,Az Zuhrah,YE18
YE1816,المنصورية,Al Mansuriyah,YE18
YE1807,الزيدية,Az Zaydiyah,YE18
YE1823,الحالي,Al Hali,YE18
YE1811,الحجيلة,Al Hujaylah,YE18
YE1815,السخنة,As Sukhnah,YE18
YE1805,المنيرة,Al Munirah,YE18
YE1821,الحوك,Al Hawak,YE18
YE1804,الصليف,As Salif,YE18
YE1810,باجل,Bajil,YE18
YE1809,الضحي,Ad Dahi,YE18
YE1819,حيس,Hays,YE18
YE1806,القناوص,Al Qanawis,YE18
YE1812,برع,Bura',YE18
YE2002,جهران,Jahran,YE20
YE2005,عتمة,Utmah,YE20
YE2009,ميفعة عنس,Mayfa'at Ans,YE20
YE2001,الحداء,Al Hada,YE20
YE2010,عنس,Ans,YE20
YE2007,وصاب السافل,Wusab As Safil,YE20
YE2006,وصاب العالي,Wusab Al Aali,YE20
YE2003,جبل الشرق,Jabal Ash sharq,YE20
YE2012,المنار,Al Manar,YE20
YE2004,مغرب عنس,Maghrib Ans,YE20
YE2011,ضوران آنس,Dawran Aanis,YE20
YE2008,مدينة ذمار,Dhamar City,YE20
YE2901,حرف سفيان,Harf Sufyan,YE29
YE2902,حوث,Huth,YE29
YE2903,العشة,Al Ashah,YE29
YE2904,قفلة عذر,Qaflat Udhar,YE29
YE2905,شهارة,Shaharah,YE29
YE2906,المــدان,Al Madan,YE29
YE2907,صـويــــر,Suwayr,YE29
YE2908,حبور ظليمة,Habur Dhulaymah,YE29
YE2913,السودة,As Sudah,YE29
YE2919,خمر,Khamir,YE29
YE2909,ذيبين,Dhaybayn,YE29
YE2910,خارف,Kharif,YE29
YE2911,ريدة,Raydah,YE29
YE2912,جبل عيال يزيد,Jabal Eyal Yazid,YE29
YE2914,السود,As Sawd,YE29
YE2915,عمران,Amran,YE29
YE2916,مسور,Maswar,YE29
YE2917,ثلا,Thula,YE29
YE2918,عيال سريح,Eyal Surayh,YE29
YE2920,بني صريم,Bani Suraym,YE29
YE1701,بكيل المير,Bakil Al Mir,YE17
YE1727,بني العوام,Bani Al Awam,YE17
YE1710,أفلح الشام,Aflah Ash Sham,YE17
YE1714,أفلح اليمن,Aflah Al Yaman,YE17
YE1724,بني قيس,Bani Qays,YE17
YE1709,كحلان الشرف,Kuhlan Ash Sharaf,YE17
YE1718,كحلان عفار,Kuhlan Afar,YE17
YE1711,خيران المحرق,Khayran Al Muharraq,YE17
YE1729,حجة,Hajjah,YE17
YE1728,مدينة حجة,Hajjah City,YE17
YE1713,قفل شمر,Qafl Shammar,YE17
YE1731,قارة,Qarah,YE17
YE1712,أسلم,Aslam,YE17
YE1708,الجميمة,Al Jamimah,YE17
YE1730,وشحة,Washhah,YE17
YE1725,الشغادرة,Ash shaghadirah,YE17
YE1715,المحابشة,Al Mahabishah,YE17
YE1717,المغربة,Al Maghrabah,YE17
YE1716,المفتاح,Al Miftah,YE17
YE1702,حرض,Harad,YE17
YE1705,حيران,Hayran,YE17
YE1707,كشر,Kushar,YE17
YE1719,شرس,Sharis,YE17
