name,label,label_en,district_code,province_code
YE130121,صنعاء القديمه,Old City,YE1301,YE13
YE130321,ازال,Azaal,YE1303,YE13
YE130421,الصافيه,As Safiyah,YE1304,YE13
YE130521,السبعين,As Sab'in,YE1305,YE13
YE130221,شعوب,Shu'ub,YE1302,YE13
YE130621,الوحده,Al Wehdah,YE1306,YE13
YE130721,التحرير,At Tahrir,YE1307,YE13
YE130921,الثوره,Ath Thawrah,YE1309,YE13
YE130821,معين,Ma'in,YE1308,YE13
YE131021,بني الحارث,Bani Al Harith,YE1310,YE13
YE131022,سدس الحدود,Suds Al Hudud,YE1310,YE13
YE131023,الحماء,Al Hama'a,YE1310,YE13
YE131024,بني جرموز,Bani Jarmuz,YE1310,YE13
YE230121,ربع همدان,Rub' Hamdan,YE2301,YE23
YE230123,جشم,Jusham,YE2301,YE23
YE230124,بني مكرم,Bani Mukaram,YE2301,YE23
YE230222,عيال عبد الله,Eyal Abdallah,YE2302,YE23
YE230223,المنصور,Al Mansur,YE2302,YE23
YE230224,شاكر,Shakir,YE2302,YE23
YE230225,بيت مران,Bayt Marran,YE2302,YE23
YE230226,بني حكم,Bani Hakam,YE2302,YE23
YE230227,الزبيرات,Az Zubayrat,YE2302,YE23
YE230229,حبار,Habar,YE2302,YE23
YE230230,زندان,Zindan,YE2302,YE23
YE230232,شعب,Sha'b,YE2302,YE23
YE230234,هزم,Hazm,YE2302,YE23
YE230235,بني مره,Bani Murah,YE2302,YE23
YE231622,اليمانية السفلى,Al Yamaniyah As Sufla,YE2316,YE23
YE231623,حضر,Hadar,YE2316,YE23
YE231624,قروى,Qarawi,YE2316,YE23
YE231625,سهمان جحانه,Sahman Jihanah,YE2316,YE23
YE230621,ربع العبس,Rub' Al Abs,YE2306,YE23
YE230622,وعلان,Wa'lan,YE2306,YE23
YE230623,الربع الشرقي,Ar Rub' Ash Sharqi,YE2306,YE23
YE230624,ربع اولاد حسن,Rub' Awlad Hasan,YE2306,YE23
YE230521,الحمس العدني,Al Hams Al Adani,YE2305,YE23
YE230522,الخمس الخامس,Al Khums Al Khamis,YE2305,YE23
YE230523,وادي جبيب,Wadi Jubayb,YE2305,YE23
YE230524,خمس وادي جناح,Khums Wadi Janah,YE2305,YE23
YE230525,خمس الوادي الاوسط,Khums Al Wadi Al Awsat,YE2305,YE23
YE230526,صرفةودجه,Sarfat Wadjah,YE2305,YE23
YE230527,عناقه,Anaqah,YE2305,YE23
YE230528,وادي الاجبار,Wadi Al Ajbar,YE2305,YE23
YE230529,الربع الغربي,Ar Rub' Al Gharbi,YE2305,YE23
YE230531,الفروات,Al Farwat,YE2305,YE23
YE230532,قاع الحباب,Qa' Al Habab,YE2305,YE23
YE231521,اليمانية العليا,Al Yamaniyah Al Olya,YE2315,YE23
YE231121,متوح,Matuh,YE2311,YE23
YE231123,بني جربن,Bani Jarban,YE2311,YE23
YE231124,الجرواح,Al Jirwah,YE2311,YE23
YE231126,بني عراف,Bani Araf,YE2311,YE23
YE231127,مدول,Madwal,YE2311,YE23
YE231128,الطرف,At Taraf,YE2311,YE23
YE230421,عيال مالك,Eyal Malik,YE2304,YE23
YE230422,سعوان,Sa'wan,YE2304,YE23
YE230423,صرف,Sarif,YE2304,YE23
YE230424,ذى مرمر,Dhi Marmar,YE2304,YE23
YE230425,عضران,Adran,YE2304,YE23
YE230426,رجام,Rujam,YE2304,YE23
YE230427,الشرفه,Ash Shurfah,YE2304,YE23
YE230428,الابناء,Al Abna'a,YE2304,YE23
YE230429,الرونه,Ar Rawnah,YE2304,YE23
YE231321,بني سحام,Bani Siham,YE2313,YE23
YE231322,بني جبر,Bani Jabr,YE2313,YE23
YE231323,السهمان,Al Sahman,YE2313,YE23
YE231324,جبل اللوز,Jabal Al Lawz,YE2313,YE23
YE231325,قروى الطيال,Qarawi At Tyal,YE2313,YE23
YE231222,حباب ال حنتش,Habab Aal Hantash,YE2312,YE23
YE231223,بني شداد,Bani Shaddad,YE2312,YE23
YE231224,المكير اللغباء,Al Makir Al Laghba'a,YE2312,YE23
YE231421,بني ضبيان,Bani Dabyan,YE2314,YE23
YE230927,الجحادب,Al Jahadib,YE2309,YE23
YE230942,الحطب,Al Hatab,YE2309,YE23
YE230932,الربع,Ar Rub',YE2309,YE23
YE230941,السدس,As Suds,YE2309,YE23
YE230925,الصوفه,As Sufah,YE2309,YE23
YE230934,العجز,Al Ajz,YE2309,YE23
YE230943,المحيام,Al Mahyam,YE2309,YE23
YE230947,بني القلام,Bani Al Qalam,YE2309,YE23
YE230936,بني بجير,Bani Bajir,YE2309,YE23
YE230937,بني جحدب,Bani Jahdab,YE2309,YE23
YE230931,بني سليمان,Bani Sulayman,YE2309,YE23
YE230951,بني شمهان,Bani Shamhan,YE2309,YE23
YE230939,بني عروه,Bani orwah,YE2309,YE23
YE230950,بني فراص,Bani Furas,YE2309,YE23
YE230946,بني وليد,Bani Walid,YE2309,YE23
YE230935,بيت ابن مهدي,Bayt Ibn Mahdi,YE2309,YE23
YE230945,بيت الجريدي,Bayt Al Jaridi,YE2309,YE23
YE230926,بيت العليي,Bayt Al Ali,YE2309,YE23
YE230940,جحاله,Jahalah,YE2309,YE23
YE230929,سحاح,Suhah,YE2309,YE23
YE230948,سهام,Siham,YE2309,YE23
YE230949,ضابي سهام,Dabi Siham,YE2309,YE23
YE230921,مفحق,Mafhaq,YE2309,YE23
YE230924,وهبي,Wahbi,YE2309,YE23
YE230930,يادع,Yadi',YE2309,YE23
YE230938,بني محمد,Bani Mohammad,YE2309,YE23
YE230923,الاعروش,Al A'rush,YE2309,YE23
YE230824,الاحبوب,Al Ahbub,YE2308,YE23
YE230825,الجدعان,Al Jid'an,YE2308,YE23
YE230821,الحدب,Al Hadab,YE2308,YE23
YE230827,بلاد القبائل,Bilad Al Qaba'il,YE2308,YE23
YE230830,بني الحذيفي,Bani Al Hudhayfi,YE2308,YE23
YE230823,بني السياغ,Bani As Sayagh,YE2308,YE23
YE230828,بني النمري,Bani An Nimri,YE2308,YE23
YE230822,بني عمرو,Bani Amr,YE2308,YE23
YE230826,بني مهلهل,Bani Mihalhal,YE2308,YE23
YE231021,مناخه,Manakhah,YE2310,YE23
YE231022,دعوه,Da'wah,YE2310,YE23
YE231023,بني حسن وحسين,Bani Hasan wa Husayn,YE2310,YE23
YE231024,بني بره,Bani Barah,YE2310,YE23
YE231025,بني اسحاق,Bani Ishaq,YE2310,YE23
YE231026,بني اسماعيل,Bani Isma'il,YE2310,YE23
YE231027,الاغمور,Al Aghmur,YE2310,YE23
YE231028,السدس وبني عطاء,As Suds wa Bani Ata'a,YE2310,YE23
YE231030,المغارب العليا,Al Magharib Al Olya,YE2310,YE23
YE231031,المغارب السفلى,Al Magharib As Sufla,YE2310,YE23
YE231032,حصبان,Husban,YE2310,YE23
YE231033,لهاب,Lahab,YE2310,YE23
YE231034,اليعابر,Al Ya'abir,YE2310,YE23
YE231036,بني مقاتل,Bani Muqatil,YE2310,YE23
YE231037,هوزان,Hawzan,YE2310,YE23
YE231038,مسار,Masar,YE2310,YE23
YE230321,عيال صياد,Eyal Sayad,YE2303,YE23
YE230322,عيال منصور,Eyal Mansur,YE2303,YE23
YE230323,الحنشات,Al Hanashat,YE2303,YE23
YE230324,عيال غفير,Eyal Ghafir,YE2303,YE23
YE230325,مرهبه,Marhabah,YE2303,YE23
YE230722,ديان,Diyan,YE2307,YE23
YE230723,جبل النبي شعيب,Jabal An Nabi Shu'ib,YE2307,YE23
YE230724,العروس,Al Arus,YE2307,YE23
YE230725,جنب,Janb,YE2307,YE23
YE230727,شهاب الاسفل,Shihab Al Asfal,YE2307,YE23
YE230728,شهاب الاعلى,Shihab Al A'la,YE2307,YE23
YE230731,البرويه,Al Barawiyah,YE2307,YE23
YE230733,حزة سهمان,Hazzat Sahman,YE2307,YE23
YE230734,بقلان,Baqlan,YE2307,YE23
YE240121,دار سعد,Dar Sa'd,YE2401,YE24
YE240221,الشيخ عثمان,Ash Shaykh Othman,YE2402,YE24
YE240321,المنصوره,Al Mansurah,YE2403,YE24
YE240421,البريقه,Al Burayqah,YE2404,YE24
YE240521,التواهي,At Tawahi,YE2405,YE24
YE240821,خور مكسر,Khur Maksar,YE2408,YE24
YE240721,صيره,Sirah,YE2407,YE24
YE240621,المعلا,Al Mu'alla,YE2406,YE24
YE181721,بيت الفقيه,Bayt Al Faqih,YE1817,YE18
YE181722,المجامله,Al Mujamalah,YE1817,YE18
YE181723,الطرف اليمانى,At Taraf Al Yamani,YE1817,YE18
YE181724,الطرف الشامي,At Taraf Ash Shami,YE1817,YE18
YE181725,العماريه,Al Amariyah,YE1817,YE18
YE181727,بني مقبول,Bani Maqbul,YE1817,YE18
YE180821,بني محمد,Bani Mohammad,YE1808,YE18
YE182621,التحيتا,At Tuhayta,YE1826,YE18
YE182622,الرويه,Ar Rawiyah,YE1826,YE18
YE182623,المجاهصه,Al Mujahasah,YE1826,YE18
YE182624,المغرس,Al Maghras,YE1826,YE18
YE182625,المتينه,Al Matinah,YE1826,YE18
YE182626,القرشية السفلى,Al Qurshyah As Sufla,YE1826,YE18
YE182630,جزيرة القرش(اللخم),Al Qirsh Island (Al Lakham),YE1826,YE18
YE180321,كمران (جزيرة كمران),Kamaran Island,YE1803,YE18
YE180323,جزيرة جبل الطير,Jabal At Tayr Island,YE1803,YE18
YE180335,جزيرة عقبان كبير,Aqban Kabir Island,YE1803,YE18
YE180336,جزيرة البظيع,Al Budhi' Island,YE1803,YE18
YE182021,الخوخه,Al Khawkhah,YE1820,YE18
YE182022,دوبله,Dawbalah,YE1820,YE18
YE182024,جزيرة حنيش الكبرى,Hunaysh Al Kubra Island,YE1820,YE18
YE182025,جزيرة حنيش الصغرى,Hunaysh As Sughra Island,YE1820,YE18
YE182033,جزيرة زقر,Zuqar Island,YE1820,YE18
YE182034,جزيرة سيول حنيش,Siyul Hunaysh Island,YE1820,YE18
YE182051,جزيرة هيكوك الشرقيه,Haykuk Ash Sharqiyah,YE1820,YE18
YE181421,الدريهمي,Ad Durayhimi,YE1814,YE18
YE181422,المنافره,Al Manafirah,YE1814,YE18
YE181423,المشاقنه,Al Mashaqinah,YE1814,YE18
YE181424,المساعيد,Al Masa'id,YE1814,YE18
YE181425,المغالسه,Al Maghalisah,YE1814,YE18
YE181427,الجحبة العليا,Al Jahbah Al Olya,YE1814,YE18
YE181428,الزرانيق,Az Zaraniq,YE1814,YE18
YE181429,الجحبةالسفلى,Al Jahbah As Sufla,YE1814,YE18
YE181430,جزيرة الطرفة,At Tarfah Island,YE1814,YE18
YE181431,جزيرة الشعب,Ash Sha'b Island,YE1814,YE18
YE182232,جزيرة حجرا,Hajraa Island,YE1822,YE18
YE180221,بني جامع(ربع عدية),Bani Jami' (Rub' Adyah),YE1802,YE18
YE180222,ربع الحضرمي,Rub' Al Hadrami,YE1802,YE18
YE180223,ربع الشام,Rub' Ash Sham,YE1802,YE18
YE180224,مور وربع الوادي,Mur wa Rub' Al Wadi,YE1802,YE18
YE180226,الزعلية ربع السمعلي,Az Za'liyah Rub' As Sam'ali,YE1802,YE18
YE180227,الزعلية ربع المحجوب,Az Za'liyah Rub' Al Mahjub,YE1802,YE18
YE180228,ربع المقرني الزعليه,Rub' Al Maqrani Az Za'liyah,YE1802,YE18
YE180229,الزعلية ربع عباك,Az Za'liyah Rub' Abak,YE1802,YE18
YE180230,البعجيه,Al Bu'jyah,YE1802,YE18
YE180231,ربع الفلو,Rub' Al Flu,YE1802,YE18
YE180232,ربع الهجن(بني جامع),Rub' Al Hajn (Bani Jami'),YE1802,YE18
YE180233,الخوبه,Al Khubah,YE1802,YE18
YE180241,جزيرة تكفاش,Tikfash Island,YE1802,YE18
YE180247,جزيرة زوربان,Zurban Island,YE1802,YE18
YE180248,جزيرة الظهائر,Adh Dhaha'ir Island,YE1802,YE18
YE180249,جزيرة الجوساك,Al Jawsak Island,YE1802,YE18
YE180251,جزيرة حمر,Humar Island,YE1802,YE18
YE180253,جزيرة الكوس,Al Kus Island,YE1802,YE18
YE180254,جزيرة الكوس الصغير,Al Kus As Saghir Island,YE1802,YE18
YE180255,جزيرة الكتاما,Al Kutama Island,YE1802,YE18
YE180256,جزيرة المسودك,Al Maswadak Island,YE1802,YE18
YE180257,جزيرة كدمان الصغير,Kadman As Saghir Island,YE1802,YE18
YE180258,جزيرة كدمان الكبير,Kadman Al Kabir Island,YE1802,YE18
YE180259,ربع الدوس,Rub' Ad Dus,YE1802,YE18
YE180260,جزيرة المرك,Al Mark Island,YE1802,YE18
YE180266,جزيرة بهيجه,Bahijah Island,YE1802,YE18
YE180267,جزيرة فراعيه,Fra'yah Island,YE1802,YE18
YE180269,جزيرة مخيضري,Mukhaydiri Island,YE1802,YE18
YE180270,جزيرة يُمنى,Yumna Island,YE1802,YE18
YE180271,جزيرة عنايب,Anayib Island,YE1802,YE18
YE180272,جزيرة لبوان,Labwan Island,YE1802,YE18
YE180273,جزيرة انتوفش,Antufish Island,YE1802,YE18
YE180277,جزيرة دحريمة (دريما),Duhayrimah Island (Drima),YE1802,YE18
YE182421,زبيد,Zabid,YE1824,YE18
YE182422,بلاد الرقود,Bilad Al Ruqud,YE1824,YE18
YE182423,التريبه,At Taribah,YE1824,YE18
YE182424,القرشية السفلى,Al Qurshyah As Sufla,YE1824,YE18
YE182425,المحط,Al Mahat,YE1824,YE18
YE182426,المصاوفه,Al Masawifah,YE1824,YE18
YE182427,البدوه,Al Badwah,YE1824,YE18
YE182428,القراشيه,Al Qurashyah,YE1824,YE18
YE182429,بلاد السلامه,Bilad As Salamah,YE1824,YE18
YE182430,الحمى,Al Hami,YE1824,YE18
YE182431,الشباريق,Ash Shabariq,YE1824,YE18
YE182432,الزريبه,Az Zaribah,YE1824,YE18
YE182433,محل الشيخ,Mahal Ash Shaykh,YE1824,YE18
YE182434,القريه,Al Qaryah,YE1824,YE18
YE182435,الموقر,Al Muqar,YE1824,YE18
YE182436,الحبيل,Al Habil,YE1824,YE18
YE182437,محل المبارك,Mahal Al Mubarak,YE1824,YE18
YE182438,المرشديه,Al Murshadyah,YE1824,YE18
YE182523,الركب,Ar Rakb,YE1825,YE18
YE181821,الفواهه,Al Fawahah,YE1818,YE18
YE181822,المرير,Al Marir,YE1818,YE18
YE181823,خنه,Khanah,YE1818,YE18
YE181825,القهراء,Al Qahra'a,YE1818,YE18
YE181826,الاشاعر,Al Asha'ir,YE1818,YE18
YE181827,مطاوفة عليا,Mutawafah Olya,YE1818,YE18
YE181828,الدحابشه,Ad Dahabishah,YE1818,YE18
YE181829,دباس,Dabas,YE1818,YE18
YE181830,جزءمن مطاوفة سفلى,Part of Matawifah As Sufla,YE1818,YE18
YE181831,الخان,Al Khan,YE1818,YE18
YE181832,الفارسى,Al Farisi,YE1818,YE18
YE181833,بني حاتم,Bani Hatim,YE1818,YE18
YE181834,المجارين,Al Majarin,YE1818,YE18
YE181835,العساكره,Al Asakirah,YE1818,YE18
YE181836,الكوله,Al Kawlah,YE1818,YE18
YE181837,الندافا,An Nadafa,YE1818,YE18
YE181838,المحشور,Al Mahshur,YE1818,YE18
YE181321,المراوعه,Al Marawi'ah,YE1813,YE18
YE181322,الكتابية والوعاريه,Al Kitabyah wa Al Wa'ariyah,YE1813,YE18
YE181323,القطيع,Al Qati',YE1813,YE18
YE181324,الرقابه,Ar Raqabah,YE1813,YE18
YE181325,الربصه,Ar Rabsah,YE1813,YE18
YE181326,القطامله,Al Qutamlah,YE1813,YE18
YE181327,الدمانيه,Ad Dumaniyah,YE1813,YE18
YE181328,بني صلاح,Bani Salah,YE1813,YE18
YE181329,العامرية والدحلي,Al Amiriah wa Ad Duhli,YE1813,YE18
YE181330,الفلافله,Al Falafilah,YE1813,YE18
YE182521,المعاصله,Al Ma'silah,YE1825,YE18
YE182522,العيادية السفلى,Al Ayadiyah As sufla,YE1825,YE18
YE182524,عقبى وقرة عامر,Oqba wa Qurat Amir,YE1825,YE18
YE182525,المحارقه,Al Mahariqah,YE1825,YE18
YE182526,العبادية العليا,Al Abadiyah al Olya,YE1825,YE18
YE180121,الزهرة ربع الوادي,Az Zuhrah Rub' Al Wadi,YE1801,YE18
YE180122,الفرانته,Al Farantah,YE1801,YE18
YE180123,ربع الوسط,Rub' Al Wasat,YE1801,YE18
YE180124,ربع الشام,Rub' Ash Sham,YE1801,YE18
YE180125,الربع الشرقي,Ar Rub' Ash Sharqi,YE1801,YE18
YE180126,الخشم,Al Khushm,YE1801,YE18
YE180822,المحامده,Al Mahamidah,YE1808,YE18
YE180823,بني البره,Bani Al Barah,YE1808,YE18
YE181621,المناصره,Al Manasirah,YE1816,YE18
YE181622,الوعاريه,Al Wa'ariyah,YE1816,YE18
YE180721,الزيديه,Az Zaydyah,YE1807,YE18
YE180722,الحشابره,Al Hashabirah,YE1807,YE18
YE180723,القباعيه,Al Quba'yah,YE1807,YE18
YE180724,العطاويه,Al Atawiyah,YE1807,YE18
YE182321,الحديده,Al Hodeidah,YE1823,YE18
YE181121,القطعة العليا,Al Qit'ah Al Olya,YE1811,YE18
YE181122,القطعة السفلى,Al Qit'ah As Sufla,YE1811,YE18
YE181521,الرامية السفلى,Ar Ramiyah As Sufla,YE1815,YE18
YE181522,الرامية العليا,Ar Ramiyah Al Olya,YE1815,YE18
YE180521,ربع القحم,Rub' Al Qahm,YE1805,YE18
YE182121,الحوك,Al Hawak,YE1821,YE18
