name,label,label_en,uzlah_code,district_code,province_code
YE130121001,الامانة,Al-Amanh,YE130121,YE1301,YE13
YE130121002,حارة الطبري,Hart At-Tbry,YE130121,YE1301,YE13
YE130321001,حارة اكمة الزبيب,Hart Akmt Az-Zbyb,YE130321,YE1303,YE13
YE130321002,حارة السد,Hart As-Sd,YE130321,YE1303,YE13
YE130321003,حارة شيراتون,Hart Shyratwn,YE130321,YE1303,YE13
YE130421001,الامانة,Al-Amanh,YE130421,YE1304,YE13
YE130421002,البليلي,Al-Blyly,YE130421,YE1304,YE13
YE130521001,الامانة,Al-Amanh,YE130521,YE1305,YE13
YE130521002,السواد الشمالي,As-Swad Ash-Shmaly,YE130521,YE1305,YE13
YE130521003,حارة النصر,Hart An-Nsr,YE130521,YE1305,YE13
YE130221001,الامانة,Al-Amanh,YE130221,YE1302,YE13
YE130221002,شارع خولان,Shar' Khwlan,YE130221,YE1302,YE13
YE130221003,سعوان,S'wan,YE130221,YE1302,YE13
YE130221004,شعوب,Sh'wb,YE130221,YE1302,YE13
YE130621001,الامانة,Al-Amanh,YE130621,YE1306,YE13
YE130721001,الامانة,Al-Amanh,YE130721,YE1307,YE13
YE130721002,قاع العلفي,Qa' Al-Lfy,YE130721,YE1307,YE13
YE130921001,الامانة,Al-Amanh,YE130921,YE1309,YE13
YE130921002,شارع القاهرة,Shar' Al-Qahrh,YE130921,YE1309,YE13
YE130921003,الجراف,Al-Jraf,YE130921,YE1309,YE13
YE130821001,الامانة,Al-Amanh,YE130821,YE1308,YE13
YE130821002,مذبح,Mdhbh,YE130821,YE1308,YE13
YE130821003,حارة السودة,Hart As-Swd'h,YE130821,YE1308,YE13
YE130821004,شارع هايل,Shar' Hayl,YE130821,YE1308,YE13
YE131021001,حارة الخير,Hart Al-Khyr,YE131021,YE1310,YE13
YE131022001,الحتارش,Al-Htarsh,YE131022,YE1310,YE13
YE131022002,العذرة,Al-Dhrh,YE131022,YE1310,YE13
YE131022003,العروق,Al-Rwq,YE131022,YE1310,YE13
YE131022004,الغراس,Al-Ghras,YE131022,YE1310,YE13
YE131022005,الغرزه,Al-Ghrzh,YE131022,YE1310,YE13
YE131022006,المحجل,Al-Mhjl,YE131022,YE1310,YE13
YE131022007,بني زياد,Bny Zyad,YE131022,YE1310,YE13
YE131022008,بني عاصم,Bny Aasm,YE131022,YE1310,YE13
YE131022009,بيت الأكوع,Byt Al-Akw',YE131022,YE1310,YE13
YE131022010,بيت الجلال,Byt Al-Jlal,YE131022,YE1310,YE13
YE131022011,بيت الحدمه,Byt Al-Hdmh,YE131022,YE1310,YE13
YE131022012,بيت السباعى,Byt As-Sba'a,YE131022,YE1310,YE13
YE131022013,بيت بيدر,Byt Bydr,YE131022,YE1310,YE13
YE131022014,بيت خيران,Byt Khyran,YE131022,YE1310,YE13
YE131022015,بيت دغيش,Byt Dghysh,YE131022,YE1310,YE13
YE131022016,بيت عثرب,Byt Athrb,YE131022,YE1310,YE13
YE131022017,بيت هادي,Byt Hady,YE131022,YE1310,YE13
YE131022018,بيت هديان,Byt Hdyan,YE131022,YE1310,YE13
YE131022019,بيرزاهر,Byrzahr,YE131022,YE1310,YE13
YE131023001,الحماء,Al-Hma'a,YE131023,YE1310,YE13
YE131023002,الخميس,Al-Khmys,YE131023,YE1310,YE13
YE131023003,العقر,Al-Qr,YE131023,YE1310,YE13
YE131023004,العليفه,Al-Lyfh,YE131023,YE1310,YE13
YE131023005,بيت الحطيري,Byt Al-Htyry,YE131023,YE1310,YE13
YE131023006,بيت الحللي,Byt Al-Hlly,YE131023,YE1310,YE13
YE131023007,بيت الخاوي,Byt Al-Khawy,YE131023,YE1310,YE13
YE131023008,بيت العنجري,Byt Al-Njry,YE131023,YE1310,YE13
YE131023009,بيت القماسي,Byt Al-Qmasy,YE131023,YE1310,YE13
YE131023010,بيت المرشحي,Byt Al-Mrshhy,YE131023,YE1310,YE13
YE131023011,بيت جحزر,Byt Jhzr,YE131023,YE1310,YE13
YE131023012,بيت حنظل,Byt Hnzl,YE131023,YE1310,YE13
YE131023013,بيت حنكل,Byt Hnkl,YE131023,YE1310,YE13
YE131023014,بيت خميس,Byt Khmys,YE131023,YE1310,YE13
YE131023015,بيت رسام,Byt Rsam,YE131023,YE1310,YE13
YE131023016,بيت سيلان,Byt Sylan,YE131023,YE1310,YE13
YE131023017,بيت طاهر,Byt Tahr,YE131023,YE1310,YE13
YE131023018,بيت غيثان,Byt Ghythan,YE131023,YE1310,YE13
YE131023019,بيت مرعي,Byt Mr'y,YE131023,YE1310,YE13
YE131023020,بير الدرب,Byr Ad-Drb,YE131023,YE1310,YE13
YE131023021,سوق الخميس,Swq Al-Khmys,YE131023,YE1310,YE13
YE131023022,غلابة,Ghlabh,YE131023,YE1310,YE13
YE131024001,الجيرد,Al-Jyrd,YE131024,YE1310,YE13
